BELMONT (PERTH AIRPORT) ,,,© 2016 Crown Copyright Met Office,,
21/6/1987,15.7,12.0,1021,9.5,Light
22/6/1987,14.7,9.0,1021,7.2,Light
23/6/1987,13.9,2.0,1022,2.7,Light
24/6/1987,16.2,1.2,1022,4.0,Light
25/6/1987,14.6,4.0,1021,3.2,Light
26/6/1987,15.3,3.0,1020,1.8,Light
27/6/1987,14.7,4.0,1021,4.7,Light
28/6/1987,14.5,0.6,1020,4.0,Light
29/6/1987,13.0,5.0,1022,2.8,Light
30/6/1987,14.5,0.0,1020,2.4,Light
1/7/1987,16.2,3.0,1020,4.8,Light
2/7/1987,10.0,0.0,1014,3.0,Light
3/7/1987,14.5,21.0,1015,7.3,Light
4/7/1987,14.3,10.0,1024,3.7,Light
5/7/1987,14.4,0.0,1026,5.3,Light
6/7/1987,15.8,0.0,1021,4.5,Light
7/7/1987,19.2,0.0,1014,10.4,Light
8/7/1987,12.5,15.0,1024,3.8,Light
9/7/1987,12.6,0.0,1026,2.8,Light
10/7/1987,12.6,0.0,1027,1.4,Light
11/7/1987,12.3,0.0,1023,3.2,Light
12/7/1987,13.0,1.0,1021,4.2,Light
13/7/1987,14.4,2.8,1023,4.7,Light
14/7/1987,13.6,2.0,1025,4.7,Light
15/7/1987,14.7,2.0,1022,4.2,Light
16/7/1987,13.6,4.0,1021,2.8,Light
17/7/1987,11.7,0.0,1023,0.2,Light
18/7/1987,10.2,0.0,1028,5.4,Light
19/7/1987,8.8,0.0,1030,7.8,Light
20/7/1987,11.9,0.0,1025,10.8,Light
21/7/1987,13.7,0.0,1019,10.0,Light
22/7/1987,15.6,5.8,1016,6.0,Light
23/7/1987,14.3,6.0,1017,9.8,Light
24/7/1987,10.5,5.0,1025,4.7,Light
25/7/1987,11.0,0.0,1026,6.8,Light
26/7/1987,13.1,0.0,1023,8.5,Light
27/7/1987,15.7,0.0,1018,6.2,Light
28/7/1987,16.0,10.2,1012,9.0,Light
29/7/1987,11.6,104.0,1009,9.8,Light
30/7/1987,13.6,11.4,1014,9.8,Light
31/7/1987,10.8,9.2,1018,10.0,Light
1/8/1987,8.9,0.4,1027,2.8,Light
2/8/1987,10.2,0.0,1028,2.8,Light
3/8/1987,11.1,0.0,1029,3.2,Light
4/8/1987,12.1,0.0,1031,5.7,Light
5/8/1987,13.7,0.0,1030,5.5,Light
6/8/1987,15.0,0.0,1027,6.7,Light
7/8/1987,17.1,0.0,1027,10.8,Light
8/8/1987,16.4,0.0,1031,14.8,Moderate
9/8/1987,15.2,0.0,1030,9.5,Light
10/8/1987,16.6,0.0,1026,8.2,Light
11/8/1987,18.9,0.0,1020,4.2,Light
12/8/1987,14.3,15.0,1013,4.0,Light
13/8/1987,12.8,16.0,1021,4.7,Light
14/8/1987,12.4,0.0,1027,4.3,Light
15/8/1987,14.7,0.0,1030,3.8,Light
16/8/1987,15.0,0.0,1029,9.7,Light
17/8/1987,16.1,0.0,1026,6.0,Light
18/8/1987,17.0,0.0,1022,4.7,Light
19/8/1987,18.0,0.0,1017,5.3,Light
20/8/1987,14.5,37.0,1012,1.6,Light
21/8/1987,12.4,26.2,1018,6.7,Light
22/8/1987,11.6,0.8,1023,4.3,Light
23/8/1987,12.2,0.0,1020,5.0,Light
24/8/1987,14.0,0.0,1013,9.0,Light
25/8/1987,10.3,25.0,1011,7.2,Light
26/8/1987,11.7,7.0,1025,6.8,Light
27/8/1987,12.4,0.0,1027,5.0,Light
28/8/1987,13.3,0.0,1024,4.4,Light
29/8/1987,15.0,0.0,1023,5.3,Light
30/8/1987,15.0,0.0,1024,12.0,Moderate
31/8/1987,14.8,0.0,1019,9.2,Light
1/9/1987,13.8,0.0,1021,7.3,Light
2/9/1987,13.1,0.0,1025,5.7,Light
3/9/1987,13.8,0.0,1025,5.5,Light
4/9/1987,13.9,0.0,1023,4.0,Light
5/9/1987,15.4,0.0,1024,6.7,Light
6/9/1987,14.3,0.0,1030,5.0,Light
7/9/1987,14.8,0.0,1031,5.7,Light
8/9/1987,17.0,0.0,1027,5.3,Light
9/9/1987,18.0,0.0,1022,5.8,Light
10/9/1987,19.3,0.0,1019,7.0,Light
11/9/1987,18.7,0.0,1022,8.8,Light
12/9/1987,18.6,0.0,1024,14.8,Moderate
13/9/1987,21.4,0.0,1025,10.2,Light
14/9/1987,20.3,0.0,1023,4.3,Light
15/9/1987,19.6,0.0,1022,3.2,Light
16/9/1987,19.9,0.0,1019,2.4,Light
17/9/1987,18.8,0.0,1014,10.5,Light
18/9/1987,14.9,8.0,1016,6.8,Light
19/9/1987,14.2,0.0,1023,4.2,Light
20/9/1987,15.8,0.0,1021,3.3,Light
21/9/1987,17.9,0.0,1016,3.2,Light
22/9/1987,18.2,0.0,1012,7.0,Light
23/9/1987,14.0,21.0,1016,8.5,Light
24/9/1987,14.2,0.0,1019,4.0,Light
25/9/1987,16.2,0.0,1012,11.7,Moderate
26/9/1987,10.0,9.0,1016,8.3,Light
27/9/1987,11.3,4.0,1024,7.0,Light
28/9/1987,12.4,0.0,1026,6.3,Light
29/9/1987,15.7,0.0,1027,10.8,Light
30/9/1987,19.3,0.0,1024,9.0,Light
1/10/1987,21.4,0.0,1021,7.2,Light
2/10/1987,22.9,0.0,1014,8.8,Light
3/10/1987,16.2,0.2,1018,6.0,Light
4/10/1987,20.8,1.0,1017,8.7,Light
5/10/1987,20.0,0.0,1014,4.8,Light
6/10/1987,16.7,5.4,1016,5.2,Light
7/10/1987,16.8,0.4,1016,7.3,Light
8/10/1987,16.7,0.0,1019,7.8,Light
9/10/1987,18.5,0.0,1022,9.7,Light
10/10/1987,16.4,0.0,1020,21.8,Fresh
11/10/1987,20.7,0.0,1013,14.6,Moderate
12/10/1987,18.1,0.0,1010,7.2,Light
13/10/1987,16.9,3.0,1012,11.8,Moderate
14/10/1987,12.3,4.8,1015,10.8,Light
15/10/1987,14.2,2.0,1020,6.8,Light
16/10/1987,15.7,0.0,1020,6.4,Light
17/10/1987,17.1,0.0,1020,11.5,Moderate
18/10/1987,18.5,0.0,1014,7.8,Light
19/10/1987,17.4,0.0,1015,7.0,Light
20/10/1987,17.7,0.0,1017,7.3,Light
21/10/1987,15.8,0.0,1019,10.8,Light
22/10/1987,15.2,0.0,1019,9.7,Light
23/10/1987,17.0,0.0,1019,8.2,Light
24/10/1987,17.3,0.0,1019,8.2,Light
25/10/1987,17.6,0.0,1018,9.5,Light
26/10/1987,17.0,0.0,1019,11.7,Moderate
27/10/1987,16.5,0.0,1018,8.4,Light
28/10/1987,24.5,0.0,1011,6.8,Light
29/10/1987,20.0,0.0,1011,8.2,Light
30/10/1987,18.3,3.0,1012,7.3,Light
31/10/1987,12.9,7.0,1012,6.8,Light
