CAMBORNE                            © Crown Copyright  Met Office 2015,,,,,,,,,,,,,,
NGR = 1627E 4067N,,,,,,,,,,,,,,
Altitude = 87 metres,,,,,,,,,,,,,,
Latitude = 50:22N Longitude = 05:33W,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
25/7/2015,14.6,23,8.8,8,Light,22,83,6,3500,1018,340,NNW,350,N
26/7/2015,15.1,2.4,1.9,15,Moderate,33,98,7,1000,1003,260,W,170,S
27/7/2015,15.0,tr,2.2,18,Fresh,33,97,6,1500,1006,290,WNW,290,WNW
28/7/2015,14.7,0.6,7.5,13,Moderate,27,83,5,2900,1011,300,WNW,290,WNW
29/7/2015,14.1,0.2,8.3,11,Moderate,22,87,5,2900,1016,320,NW,330,NNW
30/7/2015,14.2,0,12.4,8,Light,18,86,3,3900,1022,10,N,20,NNE
31/7/2015,12.0,tr,12.1,5,Light,15,96,4,4100,1019,300,WNW,290,WNW
1/8/2015,14.7,tr,1.9,8,Light,19,94,7,2700,1017,200,SSW,220,SW
2/8/2015,16.7,1.2,7.8,13,Moderate,30,96,6,2300,1012,170,S,160,SSE
3/8/2015,16.2,0.4,3,13,Moderate,25,97,6,1700,1010,230,SW,190,S
4/8/2015,15.5,0.2,4.4,13,Moderate,31,88,7,1300,1013,240,WSW,250,WSW
5/8/2015,15.7,8.6,0.3,13,Moderate,30,99,7,800,1009,180,S,180,S
6/8/2015,14.6,tr,6.3,7,Light,20,99,5,2800,1014,300,WNW,280,W
7/8/2015,14.7,0.2,6.7,7,Light,17,96,5,3000,1019,40,NE,50,NE
8/8/2015,15.6,0.6,13.9,6,Light,16,92,3,3200,1025,300,WNW,300,WNW
9/8/2015,15.1,27.2,0,10,Light,22,100,8,600,1021,220,SW,220,SW
10/8/2015,17.0,0,6.8,8,Light,18,100,6,1700,1018,300,WNW,230,SW
11/8/2015,14.6,0,4.9,6,Light,18,96,7,2700,1021,30,NNE,20,NNE
12/8/2015,16.1,4.2,4.8,6,Light,14,96,6,1800,1022,70,ENE,40,NE
13/8/2015,16.1,34.4,0,8,Light,21,100,8,400,1014,40,NE,10,N
14/8/2015,15.4,0,2.2,12,Moderate,24,99,7,1400,1011,330,NNW,340,NNW
15/8/2015,14.2,0,6.7,7,Light,20,87,6,2000,1016,320,NW,320,NW
16/8/2015,14.2,0,6,6,Light,14,91,5,2500,1018,210,SSW,160,SSE
17/8/2015,14.0,0,11.9,4,Light,13,95,4,2800,1019,350,N,360,N
18/8/2015,15.2,8.2,9.3,5,Light,12,97,5,2500,1017,300,WNW,340,NNW
19/8/2015,15.4,4.2,0,9,Light,24,99,8,1100,1015,200,SSW,210,SSW
20/8/2015,16.7,7.4,0,11,Moderate,25,100,8,500,1018,210,SSW,210,SSW
21/8/2015,17.2,10.6,0,11,Moderate,27,100,8,400,1017,200,SSW,190,S
22/8/2015,15.9,23.6,0,5,Light,16,100,8,600,1012,10,N,320,NW
23/8/2015,14.8,5.6,5.2,6,Light,16,98,6,3200,1003,300,WNW,310,NW
24/8/2015,14.2,8.2,2.8,10,Light,23,95,6,2300,1003,40,NE,320,NW
25/8/2015,14.7,24.2,0.7,12,Moderate,34,99,7,1200,1005,190,S,260,W
26/8/2015,16.5,1,6.3,13,Moderate,36,98,6,1300,1002,240,WSW,190,S
27/8/2015,15.1,tr,6.8,8,Light,20,95,5,2400,1008,240,WSW,250,WSW
28/8/2015,15.0,tr,7.6,8,Light,25,94,5,2200,1016,230,SW,240,WSW
29/8/2015,16.0,1.8,0.6,4,Light,10,96,7,2300,1019,180,S,190,S
30/8/2015,15.0,3,0,7,Light,19,97,8,2000,1018,30,NNE,40,NE
31/8/2015,15.3,0,9,11,Moderate,22,98,4,2900,1017,360,N,360,N
1/9/2015,14.3,1.8,7.7,7,Light,18,95,3,3300,1022,350,N,20,NNE
2/9/2015,12.8,1.2,3.2,7,Light,18,92,6,3100,1021,360,N,350,N
3/9/2015,13.0,0.6,1.2,8,Light,20,81,7,3900,1020,350,N,340,NNW
4/9/2015,13.0,tr,0.7,9,Light,20,94,7,2900,1021,10,N,20,NNE
5/9/2015,14.3,tr,3.3,10,Light,21,90,6,2100,1024,30,NNE,10,N
6/9/2015,12.6,0,12.1,7,Light,16,95,2,2400,1030,30,NNE,30,NNE
7/9/2015,13.5,0.2,9.3,4,Light,11,97,3,2600,1031,50,NE,40,NE
8/9/2015,13.7,tr,7.8,9,Light,25,98,3,1700,1025,120,ESE,120,ESE
9/9/2015,15.9,0,6.3,13,Moderate,28,89,4,1900,1019,120,ESE,120,ESE
10/9/2015,17.0,0,10.5,14,Moderate,26,92,4,1100,1017,120,ESE,110,ESE
11/9/2015,15.8,23.6,0,11,Moderate,28,97,8,800,1009,180,S,200,SSW
12/9/2015,14.5,0.4,4.7,11,Moderate,27,98,7,2300,1008,280,W,300,WNW
13/9/2015,14.7,11.6,4.3,10,Light,25,99,7,2200,1001,140,SE,130,SE
14/9/2015,12.4,7.2,4.2,15,Moderate,40,99,7,1200,995,290,WNW,290,WNW
15/9/2015,13.0,1.8,2.3,7,Light,30,95,7,1700,997,280,W,270,W
16/9/2015,13.1,tr,1.1,11,Moderate,25,89,7,2000,990,70,ENE,20,NNE
17/9/2015,13.7,4.2,3.3,8,Light,23,98,5,2400,1001,230,SW,240,WSW
18/9/2015,13.5,tr,1.8,8,Light,20,98,6,2200,1014,350,N,320,NW
19/9/2015,13.7,0.2,5.9,3,Light,9,100,5,2800,1026,340,NNW,360,N
20/9/2015,13.1,3,0.2,6,Light,16,99,6,2800,1024,200,SSW,230,SW
21/9/2015,14.4,9.8,5.2,11,Moderate,24,99,7,1800,1013,210,SSW,210,SSW
22/9/2015,12.3,1.8,4.9,13,Moderate,31,92,5,2400,1008,340,NNW,330,NNW
23/9/2015,12.6,2.2,1.7,8,Light,20,98,7,1900,1014,250,WSW,260,W
24/9/2015,14.3,0.4,7.5,10,Light,25,98,5,1400,1017,290,WNW,290,WNW
25/9/2015,12.6,0,8.6,4,Light,10,92,3,1000,1024,80,E,300,WNW
26/9/2015,12.4,0,10.5,6,Light,16,92,1,1600,1027,110,ESE,130,SE
27/9/2015,12.4,0.2,8.3,7,Light,20,97,2,2100,1031,90,E,110,ESE
28/9/2015,13.4,0,10.9,12,Moderate,31,92,3,2000,1032,120,ESE,110,ESE
29/9/2015,15.1,0,7.9,10,Light,27,89,5,2300,1031,100,E,110,ESE
30/9/2015,12.8,0,9,10,Light,31,86,2,2300,1030,80,E,80,E
1/10/2015,12.9,0,10.3,6,Light,19,93,1,1100,1030,80,E,80,E
2/10/2015,12.1,0,10.6,5,Light,15,92,0,1000,1024,80,E,40,NE
3/10/2015,11.4,0,10.1,4,Light,12,97,3,700,1016,40,NE,10,N
4/10/2015,12.1,7.2,0.1,13,Moderate,43,98,6,700,1008,150,SSE,130,SE
5/10/2015,14.0,5.2,0,15,Moderate,32,100,8,300,997,190,S,200,SSW
6/10/2015,14.6,1.6,0.7,12,Moderate,34,99,7,700,995,300,WNW,310,NW
7/10/2015,12.7,0.6,3.6,n/a,#N/A,n/a,91,7,2300,1015,230,SW,240,WSW
8/10/2015,12.8,0.4,5.8,6,Light,15,96,4,1600,1021,170,S,210,SSW
9/10/2015,12.7,tr,7.5,7,Light,20,96,5,2000,1021,140,SE,140,SE
10/10/2015,12.7,0,0,8,Light,26,93,8,1300,1017,80,E,100,E
11/10/2015,13.9,0,0.6,7,Light,17,93,6,900,1016,100,E,110,ESE
12/10/2015,11.0,0,8.3,10,Light,26,92,2,1400,1022,30,NNE,30,NNE
13/10/2015,10.1,0,9,7,Light,19,81,3,2900,1025,60,ENE,30,NNE
14/10/2015,10.0,0,6.2,5,Light,13,80,4,2600,1025,90,E,100,E
15/10/2015,10.0,0,4.1,5,Light,15,87,4,2200,1023,70,ENE,50,NE
16/10/2015,10.9,0,1.3,6,Light,16,85,7,1300,1024,60,ENE,40,NE
17/10/2015,11.0,0,0,6,Light,17,89,7,1600,1021,70,ENE,60,ENE
18/10/2015,13.4,0,4.4,6,Light,13,88,7,2100,1021,80,E,80,E
19/10/2015,12.3,0,0,5,Light,14,92,7,1900,1025,40,NE,30,NNE
20/10/2015,12.1,2.8,2.9,6,Light,14,90,6,2700,1029,20,NNE,10,N
21/10/2015,12.2,0.4,0,11,Moderate,24,98,8,1000,1022,300,WNW,300,WNW
22/10/2015,12.8,tr,0,8,Light,28,97,7,1400,1021,290,WNW,280,W
23/10/2015,12.0,6.4,0.5,8,Light,25,96,8,2200,1019,200,SSW,210,SSW
24/10/2015,12.1,tr,3,11,Moderate,27,98,6,1600,1016,340,NNW,350,N
25/10/2015,9.8,0.2,6.4,8,Light,21,82,5,2300,1023,160,SSE,210,SSW
26/10/2015,11.8,16,0,15,Moderate,30,96,8,1100,1007,150,SSE,150,SSE
27/10/2015,12.5,3.2,0.9,8,Light,22,98,6,1300,1005,170,S,180,S
28/10/2015,12.3,7.4,3.4,12,Moderate,26,94,4,1400,1004,150,SSE,190,S
29/10/2015,12.8,8.2,1.9,10,Light,37,98,8,900,1008,190,S,200,SSW
30/10/2015,13.3,0.4,0,13,Moderate,38,98,8,1000,1011,180,S,190,S
31/10/2015,14.7,0.2,0.9,6,Light,20,98,6,1100,1019,140,SE,150,SSE
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
n/a = data not available,,,,,,,,,,,,,,
"tr = a trace of rain, an amount less than 0.05mm",,,,,,,,,,,,,,
