BEIJING,,,© 2016 Crown Copyright Met Office,,
7/6/1987,23.4,0.0,1011,5.0,Light
8/6/1987,24.3,0.0,1009,4.0,Light
9/6/1987,24.9,0.0,1007,4.5,Light
10/6/1987,24.7,0.0,1009,6.0,Light
11/6/1987,22.8,0.0,1009,3.5,Light
12/6/1987,26.0,0.0,1007,7.0,Light
13/6/1987,24.2,0.0,1010,7.5,Light
14/6/1987,23.0,0.0,1010,6.5,Light
15/6/1987,25.0,0.0,1008,4.5,Light
16/6/1987,24.6,0.0,1008,5.0,Light
17/6/1987,24.6,9.0,1008,4.0,Light
18/6/1987,20.9,14.3,1009,4.0,Light
19/6/1987,24.9,0.0,1006,0.5,Light
20/6/1987,26.3,0.0,1008,5.5,Light
21/6/1987,26.1,0.0,1010,6.0,Light
22/6/1987,22.3,15.7,1005,3.5,Light
23/6/1987,20.6,19.0,1003,3.5,Light
24/6/1987,23.5,0.0,1004,5.0,Light
25/6/1987,23.5,0.0,1005,0.5,Light
26/6/1987,24.1,2.0,1007,4.5,Light
27/6/1987,23.9,0.3,1010,6.5,Light
28/6/1987,22.4,1.0,1007,3.5,Light
29/6/1987,23.2,0.0,1004,5.0,Light
30/6/1987,23.0,0.0,1008,6.0,Light
1/7/1987,23.8,0.0,1007,4.0,Light
2/7/1987,22.1,0.2,1004,3.3,Light
3/7/1987,26.0,0.0,1001,7.0,Light
4/7/1987,26.4,1.0,999,4.0,Light
5/7/1987,25.8,0.0,1000,6.0,Light
6/7/1987,25.7,0.0,1004,3.5,Light
7/7/1987,26.1,0.0,1003,3.3,Light
8/7/1987,27.2,0.1,1005,3.0,Light
9/7/1987,24.5,12.1,1005,4.0,Light
10/7/1987,25.4,13.6,997,3.0,Light
11/7/1987,29.8,0.0,998,2.5,Light
12/7/1987,27.1,0.1,1002,8.0,Light
13/7/1987,26.9,0.3,1006,6.0,Light
14/7/1987,23.4,53.0,1008,4.5,Light
15/7/1987,21.6,2.3,1006,4.0,Light
16/7/1987,26.5,0.0,1003,4.5,Light
17/7/1987,28.3,0.0,1003,6.0,Light
18/7/1987,27.6,0.0,1002,3.0,Light
19/7/1987,28.1,0.0,1000,5.5,Light
20/7/1987,23.9,22.5,999,2.5,Light
21/7/1987,24.1,2.0,996,4.0,Light
22/7/1987,27.6,0.0,999,4.7,Light
23/7/1987,27.6,0.0,1003,6.0,Light
24/7/1987,28.4,0.0,1003,6.5,Light
25/7/1987,29.3,0.0,1005,3.0,Light
26/7/1987,28.9,0.0,1008,5.5,Light
27/7/1987,28.2,0.0,1008,3.0,Light
28/7/1987,29.3,0.0,1005,2.5,Light
29/7/1987,28.2,0.0,1001,4.5,Light
30/7/1987,29.7,0.0,997,1.5,Light
31/7/1987,30.8,0.0,998,5.0,Light
1/8/1987,24.1,0.0,1002,3.5,Light
2/8/1987,27.4,0.1,1003,2.0,Light
3/8/1987,21.6,26.0,1005,6.0,Light
4/8/1987,27.8,0.0,1003,3.5,Light
5/8/1987,29.0,0.0,1005,3.0,Light
6/8/1987,22.1,19.0,1004,2.5,Light
7/8/1987,23.4,0.0,998,3.0,Light
8/8/1987,25.1,0.0,1003,2.5,Light
9/8/1987,26.5,0.0,1007,4.0,Light
10/8/1987,26.0,1.0,1010,4.5,Light
11/8/1987,25.7,0.0,1014,3.5,Light
12/8/1987,26.4,0.0,1014,3.5,Light
13/8/1987,22.9,62.0,1013,3.0,Light
14/8/1987,20.0,31.0,1010,1.5,Light
15/8/1987,23.3,0.0,1006,3.0,Light
16/8/1987,24.2,0.0,1006,3.0,Light
17/8/1987,25.6,0.1,1007,4.0,Light
18/8/1987,23.4,45.0,1007,4.5,Light
19/8/1987,24.3,0.9,1003,2.5,Light
20/8/1987,26.2,0.0,1004,1.5,Light
21/8/1987,27.4,0.0,1006,4.0,Light
22/8/1987,24.7,1.0,1007,3.0,Light
23/8/1987,24.1,4.0,1005,4.0,Light
24/8/1987,24.2,15.1,1004,3.5,Light
25/8/1987,25.4,0.1,1004,1.5,Light
26/8/1987,21.8,41.0,1000,6.5,Light
27/8/1987,25.4,0.0,997,4.5,Light
28/8/1987,26.4,0.0,1000,2.5,Light
29/8/1987,25.1,0.0,1002,3.5,Light
30/8/1987,24.0,0.0,1006,6.7,Light
31/8/1987,24.2,0.0,1009,4.0,Light
1/9/1987,24.6,0.0,1012,5.5,Light
2/9/1987,24.8,1.0,1012,2.5,Light
3/9/1987,20.2,11.0,1010,4.0,Light
4/9/1987,23.0,2.0,1009,8.0,Light
5/9/1987,21.9,3.0,1012,4.5,Light
6/9/1987,18.5,10.0,1014,4.0,Light
7/9/1987,20.3,0.0,1014,2.5,Light
8/9/1987,21.7,0.0,1012,9.0,Light
9/9/1987,22.0,0.0,1015,2.0,Light
10/9/1987,23.2,0.0,1019,1.0,Light
11/9/1987,23.6,0.0,1020,4.5,Light
12/9/1987,23.1,0.0,1015,3.5,Light
13/9/1987,23.7,0.0,1013,2.5,Light
14/9/1987,23.2,2.0,1015,5.3,Light
15/9/1987,19.9,0.0,1021,2.0,Light
16/9/1987,18.9,0.0,1018,6.5,Light
17/9/1987,21.0,0.0,1012,4.0,Light
18/9/1987,22.4,0.0,1007,2.0,Light
19/9/1987,24.4,0.0,1005,3.5,Light
20/9/1987,22.7,0.0,1013,5.0,Light
21/9/1987,20.5,0.0,1019,3.0,Light
22/9/1987,22.1,0.0,1019,2.5,Light
23/9/1987,22.6,2.0,1014,5.0,Light
24/9/1987,17.6,4.0,1016,12.0,Moderate
25/9/1987,16.2,0.0,1023,7.5,Light
26/9/1987,16.9,0.0,1020,4.5,Light
27/9/1987,18.5,0.0,1017,3.0,Light
28/9/1987,16.3,0.2,1017,2.0,Light
29/9/1987,17.8,0.0,1016,2.0,Light
30/9/1987,18.9,0.0,1015,3.5,Light
1/10/1987,20.6,0.0,1013,5.0,Light
2/10/1987,19.1,0.0,1014,4.0,Light
3/10/1987,21.1,0.0,1012,5.0,Light
4/10/1987,20.4,0.0,1011,1.5,Light
5/10/1987,19.8,0.0,1012,2.0,Light
6/10/1987,19.3,0.0,1018,9.0,Light
7/10/1987,17.1,0.0,1021,6.5,Light
8/10/1987,16.5,0.0,1017,2.0,Light
9/10/1987,18.0,0.0,1016,3.0,Light
10/10/1987,18.9,0.0,1012,3.5,Light
11/10/1987,17.8,0.0,1020,6.5,Light
12/10/1987,15.8,0.0,1025,4.5,Light
13/10/1987,14.0,0.0,1024,3.0,Light
14/10/1987,13.2,0.0,1028,5.3,Light
15/10/1987,11.6,0.0,1025,2.5,Light
16/10/1987,10.7,0.2,1017,1.0,Light
17/10/1987,15.7,0.0,1016,9.0,Light
18/10/1987,10.7,0.0,1018,9.5,Light
19/10/1987,5.8,0.0,1022,7.3,Light
20/10/1987,8.3,0.0,1023,4.0,Light
21/10/1987,9.0,0.0,1025,4.5,Light
22/10/1987,8.6,0.0,1024,2.0,Light
23/10/1987,9.8,0.0,1027,2.0,Light
24/10/1987,10.0,0.0,1028,5.0,Light
25/10/1987,10.0,0.0,1024,2.0,Light
26/10/1987,9.5,0.0,1019,3.0,Light
27/10/1987,12.6,0.0,1017,3.0,Light
28/10/1987,12.6,0.0,1012,4.0,Light
29/10/1987,11.9,0.0,1023,15.0,Moderate
30/10/1987,7.1,0.0,1032,7.5,Light
31/10/1987,2.9,13.0,1032,1.0,Light
